,Neighborhood,V:1,V:2,V:3,V:4,V:5,V:6,V:7,V:8,V:9,V:10
60,Rogers Park,Beach,Sandwich Place,Park,Mexican Restaurant,Café,Coffee Shop,Fast Food Restaurant,Bakery,Pizza Place,African Restaurant
61,Roseland,Fried Chicken Joint,Fast Food Restaurant,Park,Discount Store,Donut Shop,Train Station,Sandwich Place,Football Stadium,Fish Market,Athletics & Sports
62,South Chicago,Mexican Restaurant,Grocery Store,Park,American Restaurant,Discount Store,Pizza Place,Liquor Store,Food,Convenience Store,Pharmacy
63,South Deering,Park,Mexican Restaurant,Intersection,Donut Shop,Breakfast Spot,Bar,Seafood Restaurant,Bakery,Lounge,Food
64,South Lawndale,Mexican Restaurant,Bank,Sandwich Place,Fast Food Restaurant,Pharmacy,Taco Place,Pizza Place,Liquor Store,Donut Shop,Dessert Shop
65,South Shore,Discount Store,Fast Food Restaurant,Pizza Place,Fried Chicken Joint,Chinese Restaurant,Bank,Sandwich Place,Cosmetics Shop,Vegetarian / Vegan Restaurant,Grocery Store
66,Uptown,Vietnamese Restaurant,Coffee Shop,Grocery Store,Pizza Place,Thai Restaurant,Chinese Restaurant,Mexican Restaurant,Theater,Breakfast Spot,Sushi Restaurant
67,Washington Heights,Park,Sandwich Place,Fried Chicken Joint,Intersection,Grocery Store,Yoga Studio,Train Station,Fish & Chips Shop,Café,Caribbean Restaurant
68,Washington Park,Sandwich Place,Fast Food Restaurant,Women's Store,Intersection,Gas Station,Fried Chicken Joint,Restaurant,Supermarket,Shoe Store,Frozen Yogurt Shop
69,West Elsdon,Mexican Restaurant,Pizza Place,Grocery Store,Sandwich Place,Pharmacy,Taco Place,Video Store,Convenience Store,Video Game Store,Flea Market
70,West Englewood,Fast Food Restaurant,Liquor Store,Cosmetics Shop,Park,American Restaurant,Donut Shop,Discount Store,Train Station,Sandwich Place,Gas Station
71,West Garfield Park,Fast Food Restaurant,BBQ Joint,Train Station,Sandwich Place,Shoe Store,Fried Chicken Joint,Food,Sports Bar,Grocery Store,Mobile Phone Shop
72,West Lawn,Mexican Restaurant,Taco Place,Liquor Store,Fast Food Restaurant,Bakery,Park,Pharmacy,Donut Shop,Convenience Store,Pizza Place
73,West Pullman,Fast Food Restaurant,Sandwich Place,Discount Store,Donut Shop,Grocery Store,Train Station,Steakhouse,Bus Station,Mobile Phone Shop,Restaurant
74,West Ridge,Indian Restaurant,Grocery Store,Pakistani Restaurant,Park,Sandwich Place,Fast Food Restaurant,Bakery,Pharmacy,Coffee Shop,Pizza Place
75,West Town,Dive Bar,Coffee Shop,Bar,Bakery,Sushi Restaurant,Taco Place,Spa,Mexican Restaurant,Café,Pizza Place
76,Woodlawn,Coffee Shop,Sandwich Place,Bookstore,Food Truck,Café,Park,History Museum,Grocery Store,American Restaurant,Cosmetics Shop
